exp_id,seed,alpha,n_pruned,mean_delta_pruned,mean_delta_kept,share_trigger_increase_pruned,share_channels_pruned,mean_clean_pruned,mean_clean_kept,top10_trigger_channels_pruned
cifar10_iid,0,0.25,23,0.006578823085874319,0.011987030506134033,0.2372654229402542,0.359375,0.06059907376766205,0.12512697279453278,2
cifar10_iid,0,0.5,26,0.007901949808001518,0.011508696712553501,0.31748950481414795,0.40625,0.06333482265472412,0.1283494532108307,3
cifar10_iid,0,0.75,26,0.007901949808001518,0.011508696712553501,0.31748950481414795,0.40625,0.06333482265472412,0.1283494532108307,3
cifar10_iid,0,1.0,26,0.007901949808001518,0.011508696712553501,0.31748950481414795,0.40625,0.06333482265472412,0.1283494532108307,3
cifar10_iid,1,0.25,26,0.006712627597153187,0.013862070627510548,0.250751793384552,0.40625,0.052505433559417725,0.13268756866455078,1
cifar10_iid,1,0.5,27,0.006826045457273722,0.013972535729408264,0.2639636695384979,0.421875,0.05407620966434479,0.1337084025144577,1
cifar10_iid,1,0.75,27,0.006826045457273722,0.013972535729408264,0.2639636695384979,0.421875,0.05407620966434479,0.1337084025144577,1
cifar10_iid,1,1.0,27,0.006826045457273722,0.013972535729408264,0.2639636695384979,0.421875,0.05407620966434479,0.1337084025144577,1
cifar10_iid,2,0.25,25,0.006398211698979139,0.014094184152781963,0.23226849734783173,0.390625,0.06271898001432419,0.12181057035923004,0
cifar10_iid,2,0.5,25,0.006398211698979139,0.014094184152781963,0.23226849734783173,0.390625,0.06271898001432419,0.12181057035923004,0
cifar10_iid,2,0.75,25,0.006398211698979139,0.014094184152781963,0.23226849734783173,0.390625,0.06271898001432419,0.12181057035923004,0
cifar10_iid,2,1.0,26,0.006751407869160175,0.014055048115551472,0.25338149070739746,0.40625,0.0633808821439743,0.12291273474693298,0
cifar10_iid,3,0.25,32,0.007263475563377142,0.01288318820297718,0.34804484248161316,0.5,0.06570740044116974,0.14476579427719116,1
cifar10_iid,3,0.5,32,0.007263475563377142,0.01288318820297718,0.34804484248161316,0.5,0.06570740044116974,0.14476579427719116,1
cifar10_iid,3,0.75,31,0.007503048982471228,0.012487840838730335,0.34804481267929077,0.484375,0.06538388133049011,0.14267399907112122,1
cifar10_iid,3,1.0,33,0.008042218163609505,0.012235487811267376,0.39571401476860046,0.515625,0.06663885712623596,0.1463245153427124,2
cifar10_iid,4,0.25,22,0.005020296201109886,0.012526865117251873,0.1719866842031479,0.34375,0.050729189068078995,0.13260197639465332,0
cifar10_iid,4,0.5,21,0.004736811853945255,0.012490740045905113,0.15589693188667297,0.328125,0.049160391092300415,0.1314641237258911,0
cifar10_iid,4,0.75,21,0.004736811853945255,0.012490740045905113,0.15589693188667297,0.328125,0.049160391092300415,0.1314641237258911,0
cifar10_iid,4,1.0,21,0.004736811853945255,0.012490740045905113,0.15589693188667297,0.328125,0.049160391092300415,0.1314641237258911,0
